Package Name,Source,Declared Install-time,Declared Runtime,Droidbot Install-time,Droidbot Runtime,(0) Install-time Normal,(1) IND,(0) Runtime Normal,(1) RND,(2) NR,(3) RNDNR,(1) IND Permissions,(1) RND Permissions,(2) NR Permissions,(3) RNDNR Permissions,MinVersion,TargetVersion
cn.amazon.mShop.android,qq,21,8,4,0,4,0,0,0,0,0,,,,,-1,-1
cn.danatech.xingseapp,qq,3,3,0,0,0,0,0,0,0,0,,,,,-1,-1
cn.knowbox.androidaiclass,qq,17,8,4,0,4,0,0,0,0,0,,,,,-1,-1
com.alibaba.wireless,qq,28,9,7,1,7,0,0,0,1,0,,,['READ_PHONE_STATE'],,-1,-1
com.baidu.searchbox,qq,32,11,10,5,10,0,3,0,2,0,,,"['ACCESS_COARSE_LOCATION', 'CAMERA']",,-1,-1
com.baidu.xin.aiqicha,qq,16,12,4,0,4,0,0,0,0,0,,,,,-1,-1
com.bytedance.ep.android,qq,17,5,6,1,5,1,1,0,0,0,['GET_TASKS'],,,,-1,-1
com.cjtec.videoformat,qq,14,7,5,1,5,0,1,0,0,0,,,,,-1,-1
com.clicheandroid.server.ctsdazzlin,qq,17,9,7,3,7,0,2,0,1,0,,,['READ_PHONE_STATE'],,-1,-1
com.clover.daysmatter,qq,11,4,3,4,3,0,3,0,0,1,,,,['READ_PHONE_STATE'],-1,-1
com.cubic.autohome,qq,23,9,5,0,5,0,0,0,0,0,,,,,-1,-1
com.egets.takeaways,qq,15,8,8,4,7,1,4,0,0,0,['GET_TASKS'],,,,-1,-1
com.example.artilleryandroid,qq,19,8,5,7,5,0,7,0,0,0,,,,,-1,-1
com.geshi.formatfactory,qq,8,5,4,3,3,1,2,0,1,0,['GET_TASKS'],,['READ_PHONE_STATE'],,-1,-1
com.hudun.androidvideochanger,qq,10,5,0,0,0,0,0,0,0,0,,,,,-1,-1
com.hungrypanda.waimai,qq,16,7,4,0,4,0,0,0,0,0,,,,,-1,-1
com.jx885.lrjk,qq,11,5,8,1,8,0,0,0,1,0,,,['READ_PHONE_STATE'],,-1,-1
com.klook,qq,11,5,9,2,6,3,0,0,1,1,"['GET_TASKS', 'CHANGE_WIFI_STATE', 'BLUETOOTH_ADMIN']",,['ACCESS_COARSE_LOCATION'],['READ_PHONE_STATE'],21,31
com.kuaishou.nebula,qq,28,11,6,1,6,0,1,0,0,0,,,,,-1,-1
com.lanjingren.ivwen,qq,26,9,7,0,7,0,0,0,0,0,,,,,-1,-1
com.liuniantech.xiangji,qq,3,6,3,7,3,0,6,0,0,1,,,,['READ_PHONE_STATE'],-1,-1
com.mandg.funny.rollingicon,qq,10,4,4,4,4,0,4,0,0,0,,,,,-1,-1
com.meitu.meiyancamera,qq,17,8,5,4,5,0,3,0,1,0,,,['READ_PHONE_STATE'],,-1,-1
com.meitu.wink,qq,10,5,5,2,4,1,2,0,0,0,['GET_TASKS'],,,,-1,-1
com.mendon.riza,qq,15,3,12,3,12,0,2,0,1,0,,,['READ_PHONE_STATE'],,-1,-1
com.mt.mtxx.mtxx,qq,19,9,7,4,7,0,3,0,1,0,,,['READ_PHONE_STATE'],,-1,-1
com.mxbc.mxsa,qq,12,6,6,5,6,0,3,0,2,0,,,"['ACCESS_COARSE_LOCATION', 'READ_PHONE_STATE']",,-1,-1
com.olimsoft.android.oplayer,qq,14,3,9,2,8,1,2,0,0,0,['GET_TASKS'],,,,-1,-1
com.Qunar,qq,18,10,6,1,6,0,0,0,1,0,,,['CAMERA'],,-1,-1
com.rainning.beauty.camera,qq,12,7,2,0,2,0,0,0,0,0,,,,,-1,-1
com.shengfeng.shopee2,qq,12,4,4,0,4,0,0,0,0,0,,,,,-1,-1
com.shuojie.easyphoto,qq,9,3,0,0,0,0,0,0,0,0,,,,,-1,-1
com.smile.gifmaker,qq,29,11,6,2,6,0,2,0,0,0,,,,,-1,-1
com.szsr.shopeeteaching,qq,12,4,7,1,7,0,0,0,1,0,,,['READ_PHONE_STATE'],,-1,-1
com.tange365.icam365,qq,20,8,1,0,1,0,0,0,0,0,,,,,-1,-1
com.taobao.live,qq,31,10,8,1,8,0,0,0,1,0,,,['READ_PHONE_STATE'],,-1,-1
com.taobao.taobao,qq,23,10,8,0,8,0,0,0,0,0,,,,,-1,-1
com.tencent.android.qqdownloader,qq,33,9,12,0,12,0,0,0,0,0,,,,,-1,-1
com.tencent.gallerymanager,qq,22,3,4,1,4,0,1,0,0,0,,,,,-1,-1
com.tencent.mobileqq,qq,33,11,8,0,8,0,0,0,0,0,,,,,-1,-1
com.tencent.ttpic,qq,14,7,5,3,5,0,3,0,0,0,,,,,-1,-1
com.xfplay.play,qq,18,7,16,4,16,0,4,0,0,0,,,,,-1,-1
com.xiaoe.client,qq,14,7,3,0,2,1,0,0,0,0,['GET_TASKS'],,,,-1,-1
com.xingin.xhs,qq,20,10,1,0,0,1,0,0,0,0,['GET_TASKS'],,,,-1,-1
com.xs.fm,qq,22,12,4,0,4,0,0,0,0,0,,,,,-1,-1
com.xstore.sevenfresh,qq,19,5,7,0,7,0,0,0,0,0,,,,,-1,-1
com.xunrui.tkassistant,qq,57,17,7,2,7,0,2,0,0,0,,,,,-1,-1
com.yaerxing.fkst,qq,4,3,3,0,3,0,0,0,0,0,,,,,-1,-1
com.yaya.zone,qq,14,10,8,2,7,1,2,0,0,0,['GET_TASKS'],,,,-1,-1
ks.com.freecouponmerchant,qq,8,7,4,0,3,1,0,0,0,0,['GET_TASKS'],,,,-1,-1
