Package Name,Source,Declared Install-time,Declared Runtime,Droidbot Install-time,Droidbot Runtime,(0) Install-time Normal,(1) IND,(0) Runtime Normal,(1) RND,(2) NR,(3) RNDNR,(1) IND Permissions,(1) RND Permissions,(2) NR Permissions,(3) RNDNR Permissions,MinVersion,TargetVersion
acqui.cangmaomao.app,wandoujia,9,5,5,0,4,1,0,0,0,0,['GET_TASKS'],,,,-1,-1
cn.com.focusnote,wandoujia,4,3,2,0,2,0,0,0,0,0,,,,,-1,-1
cn.com.sina.sports,wandoujia,21,7,6,0,6,0,0,0,0,0,,,,,-1,-1
cn.dictcn.android.digitize.wys_japan,wandoujia,10,2,3,1,3,0,0,0,0,1,,,,['READ_PHONE_STATE'],-1,-1
cn.dlapp.childstory,wandoujia,9,2,5,0,5,0,0,0,0,0,,,,,-1,-1
cn.dlapp.navigation,wandoujia,8,3,3,2,3,0,2,0,0,0,,,,,-1,-1
cn.fzhuayantcoltd.huayaapp,wandoujia,11,6,8,1,8,0,0,0,1,0,,,['READ_PHONE_STATE'],,-1,-1
cn.judingkeji.caipu,wandoujia,5,3,4,0,3,1,0,0,0,0,['GET_TASKS'],,,,-1,-1
cn.lalawangluo.fly,wandoujia,9,6,5,3,5,0,2,0,1,0,,,['READ_PHONE_STATE'],,-1,-1
cn.llwl.compass,wandoujia,6,7,6,3,5,1,3,0,0,0,['GET_TASKS'],,,,-1,-1
cn.mama.pregnant,wandoujia,18,6,0,0,0,0,0,0,0,0,,,,,-1,-1
cn.matting.doufd,wandoujia,15,7,4,3,4,0,3,0,0,0,,,,,-1,-1
cn.ticktick.task,wandoujia,13,9,1,0,1,0,0,0,0,0,,,,,-1,-1
cn.ttkmfxs.novel,wandoujia,11,7,7,5,6,1,4,0,1,0,['BLUETOOTH'],,['READ_PHONE_STATE'],,-1,-1
cn.weilaihongtech.translator,wandoujia,4,6,2,0,2,0,0,0,0,0,,,,,-1,-1
cn.wemind.calendar.android,wandoujia,7,3,4,1,4,0,1,0,0,0,,,,,-1,-1
cn.wps.note,wandoujia,8,5,3,2,3,0,1,0,0,1,,,,['READ_PHONE_STATE'],-1,-1
cn.zymk.comic,wandoujia,12,4,10,1,10,0,0,0,1,0,,,['READ_PHONE_STATE'],,-1,-1
co.runner.app,wandoujia,25,6,5,0,4,1,0,0,0,0,['GET_TASKS'],,,,-1,-1
com.achievo.vipshop,wandoujia,21,6,7,1,7,0,1,0,0,0,,,,,-1,-1
com.aheading.news.yingtanrb,wandoujia,22,10,10,2,10,0,0,0,2,0,,,"['READ_PHONE_STATE', 'ACCESS_COARSE_LOCATION']",,-1,-1
com.andwho.myplan,wandoujia,6,5,4,3,3,1,3,0,0,0,['GET_TASKS'],,,,-1,-1
com.antcommune.prodaihero,wandoujia,10,6,5,0,5,0,0,0,0,0,,,,,-1,-1
com.aokj.goodweather,wandoujia,15,5,6,2,6,0,2,0,0,0,,,,,-1,-1
com.app.ysjqzs,wandoujia,9,5,4,4,4,0,3,0,1,0,,,['READ_PHONE_STATE'],,-1,-1
com.aqijiaoyu.zhuguanhushishequhulixue,wandoujia,6,4,0,0,0,0,0,0,0,0,,,,,-1,-1
com.ataolu.android,wandoujia,10,7,7,4,6,1,2,0,2,0,['BLUETOOTH'],,"['READ_PHONE_STATE', 'ACCESS_COARSE_LOCATION']",,-1,-1
com.baidu.homework,wandoujia,18,8,6,0,6,0,0,0,0,0,,,,,-1,-1
com.baidu.input,wandoujia,20,9,2,0,2,0,0,0,0,0,,,,,-1,-1
com.baidu.searchbox,wandoujia,32,11,8,4,8,0,4,0,0,0,,,,,-1,-1
com.bilibili.studio,wandoujia,15,5,7,5,7,0,3,0,2,0,,,"['READ_PHONE_STATE', 'CAMERA']",,-1,-1
com.bodi.shouzhangsucaizhi,wandoujia,5,2,4,0,3,1,0,0,0,0,['GET_TASKS'],,,,-1,-1
com.boohee.one,wandoujia,16,8,3,0,2,1,0,0,0,0,['GET_TASKS'],,,,-1,-1
com.bqg.ddnoverl,wandoujia,9,0,8,1,7,1,0,0,0,1,['GET_TASKS'],,,['READ_PHONE_STATE'],-1,-1
com.c2vl.kgamebox,wandoujia,15,7,6,1,6,0,0,0,1,0,,,['READ_PHONE_STATE'],,-1,-1
com.card.carddiary,wandoujia,8,5,5,4,4,1,3,0,1,0,['GET_TASKS'],,['READ_PHONE_STATE'],,-1,-1
com.clt,wandoujia,9,7,7,4,7,0,3,0,1,0,,,['READ_PHONE_STATE'],,-1,-1
