Abnormal Permissions,Label,Source,Package,API,Call stack,Library,Library Class
ACCESS_WIFI_STATE,IND,360,ai.zuoye.shijuanbao,getWifiState,,,
ACCESS_WIFI_STATE,IND,360,ai.zuoye.shijuanbao,getConnectionInfo,t8.a$a.run,,
READ_PHONE_STATE,RNDNR,360,ai.zuoye.shijuanbao,,
READ_PHONE_STATE,NR,360,cn.eagri.measurement,,
READ_PHONE_STATE,NR,360,cn.kuwo.tingshu,getRunningAppProcesses,cn.kuwo.player.App.onCreate,,
READ_PHONE_STATE,NR,360,cn.kuwo.tingshu,getSubscriberId,com.tencent.smtt.sdk.aj.handleMessage,Tencent TBS SDK,WebView
READ_PHONE_STATE,NR,360,cn.xiaochuankeji.tieba,getRunningAppProcesses,id6$b.run,,
READ_PHONE_STATE,NR,360,cn.xiaochuankeji.tieba,getSubscriberId,com.sina.weibo.sdk.utils.AidTask$2.run,weibo_android_sdk,Utility
com.google.android.gms.permission.ACTIVITY_RECOGNITION,IND,360,com.airbnb.android,,
READ_PHONE_STATE,NR,360,com.alibaba.wireless,getRunningAppProcesses,com.taobao.android.job.core.TaskSchedulerImpl$1.call,,
READ_PHONE_STATE,NR,360,com.alibaba.wireless,getSubscriberId,com.taobao.android.job.core.TaskSchedulerImpl$1.call,,
READ_PHONE_STATE,NR,360,com.android.jianying,,
READ_PHONE_STATE,NR,360,com.appsino.bingluo.fyczzj,getRunningAppProcesses,kotlinfycz.center.appentry.Wwwwwwwwwwwwwwwwwwwwwwwwwwwwww.onClick,,
READ_PHONE_STATE,NR,360,com.appsino.bingluo.fyczzj,getSubscriberId,com.mobile.auth.k.a$1.run,,
READ_PHONE_STATE,RNDNR,360,com.babycloud.hanju,getRunningAppProcesses,f.e0.i.a.a.resumeWith,,
READ_PHONE_STATE,RNDNR,360,com.babycloud.hanju,getSubscriberId,com.weibo.ssosdk.WeiboSsoSdk$d.run,Weibo SSO SDK,Utility
READ_PHONE_STATE,NR,360,com.baihe,getRunningAppProcesses,com.alibaba.wireless.security.open.initialize.б$а.run,?�据风控-Android SDK API,Security
READ_PHONE_STATE,NR,360,com.baihe,getSubscriberId,com.alibaba.one.android.inner.DeviceInfoCapturer.doCommandForString,,
READ_PHONE_STATE,NR,360,com.campmobile.snowcamera,,
READ_PHONE_STATE,NR,360,com.chunyuqiufeng.gaozhongapp,getRunningAppProcesses,com.stub.StubApp.onCreate,,
READ_PHONE_STATE,NR,360,com.chunyuqiufeng.gaozhongapp,getSubscriberId,com.tencent.smtt.sdk.WebView$6.run,Tencent TBS SDK,WebView
READ_PHONE_STATE,NR,360,com.codoon.gps,getRunningAppProcesses,com.igexin.push.extension.distribution.gbd.d.n.run,Getui_SDK,Push Service
READ_PHONE_STATE,RNDNR,360,com.cyp.fm,,
READ_PHONE_STATE,NR,360,com.didapinche.booking,getRunningAppProcesses,com.tencent.tinker.loader.app.TinkerApplication.attachBaseContext,Tencent Tinker hot-fix solution,Programming
READ_PHONE_STATE,NR,360,com.didapinche.booking,getSubscriberId,com.ptg.adsdk.lib.utils.ThreadUtils$SafeRunnable.run,ptg.adsdk,Ad
READ_PHONE_STATE,NR,360,com.diyidan,getRunningAppProcesses,com.diyidan.application.AppApplication.onCreate,app,app
READ_PHONE_STATE,RNDNR,360,com.ds.file,,
READ_PHONE_STATE,NR,360,com.eagersoft.youzy.youzy,getRunningAppProcesses,com.eagersoft.youzy.youzy.dialog.DialogAgreementPrivacyTip$Oo000ooO.onClick,app,app
ACCESS_COARSE_LOCATION,NR,360,com.evideo.MobileKTV,getCellLocation,com.amap.api.location.c.run,AMap API,Utility
READ_PHONE_STATE,NR,360,com.evideo.MobileKTV,getRunningAppProcesses,com.stub.StubApp.onCreate,,
ACCESS_FINE_LOCATION,NR,360,com.flyfish.supermario,getLastKnownLocation,com.cwrj.CWActivity.onCreate,,
