Keyword, Class, Library, Reference
amap, Utility, AMap API, https://mvnrepository.com/artifact/com.amap.api
jiguang, Push Service, JPush, https://mvnrepository.com/artifact/cn.jiguang/jpush
jpush, Push Service, JPush, https://mvnrepository.com/artifact/cn.jiguang/jpush
beizi, Ad, BeiZi SDK, http://sdkdoc.beizi.biz/
bytedance.sdk, Ad, Pangle SDK, https://mvnrepository.com/artifact/com.bytedance.sdk/pangle-sdk
bytedance.embedapplog, Ad, Pangle SDK, https://mvnrepository.com/artifact/com.bytedance.applog
com.bytedance.sdk.openadsdk, Ad, Pangle SDK, https://exodus.phm.education.gouv.fr/en/trackers/363/
com.bytedance.tea.crash, Ad, Pangle SDK, https://exodus.phm.education.gouv.fr/en/trackers/363/
com.bytedance.applog, Ad, Pangle SDK, https://exodus.phm.education.gouv.fr/en/trackers/363/
bytedance, Ad, Pangle SDK, https://exodus.phm.education.gouv.fr/en/trackers/363/
com.baidu.mobads, Ad, Baidu Mobile Ad SDK, https://mvnrepository.com/artifact/com.baidu.mobads/mobads
com.netease.nimlib, IM, NetEase Instant Messaging SDK, https://doc.yunxin.163.com/messaging/docs/DAyOTkwMDQ?platform=android
innosdk, Utility, innosdk, https://m.51biaoqing.com/lisence/sdk.html
com.baidu.mobstat, Analytics, Mobstat, https://mvnrepository.com/artifact/com.baidu.mobstat/mtj-sdk
io.reactivex, Programming, ReactiveX, https://reactivex.io/
com.tencent.smtt.sdk, WebView, Tencent TBS SDK, https://x5.tencent.com/docs/tbsapi/reference/com/tencent/smtt/sdk/package-summary.html
com.iflytek.voiceads, Ad, iflytek Voiceads, https://www.voiceads.cn/
shanyan_sdk, Utility, tensdk, https://tensdk.com/document-detail/shanyan/dptxw3
com.umeng.analytics, Analytics, Umeng Analytics, https://mvnrepository.com/artifact/com.umeng.analytics/analytics
stats.umeng, Analytics, Umeng Analytics, https://mvnrepository.com/artifact/com.umeng.analytics/analytics
com.umeng.commonsdk, Analytics, Umeng Analytics, https://developer.umeng.com/docs/119267/detail/223335
com.umeng.message, Push Service, Push SDK, https://developer.umeng.com/docs/67966/detail/293596
